Project.Number,County,System.Name,Borrower,Description,Pop,Project.Cost,Score,Cumulative.Total
18899,Wayne,WAYNE COUNTY WATER & SEWER AUTH,Lyons (T),"Replace approx. 23,000-LF of water main and appurtenances, Upgrade Distribution System",5500,14332625,30,1079311154
19279,Ulster,PORT EWEN WATER DISTRICT,Esopus (T),"Emergency interconnection infrastructure, WTP electrical updates, Water Main Replacement, Upgrade Water Treatment Plant, Upgrade Distribution System, New Inter-Connection",4500,3099200,30,1082410354
19202,Madison,HAMILTON (V),Hamilton (V),"NY Rt. 12B Water Main Replacement, new hydrants, valves and services, Upgrade Distribution System",4017,6446770,30,1088857124
18431,Warren,LAKE LUZERNE (T),Lake Luzerne (T),"Rehabilitate existing water storage tank and replace water mains, Upgrade Storage, Upgrade Distribution System",2500,2573000,30,1091430124
19816,Washington,HUDSON FALLS (V),Hudson Falls (V),"Warren Street Canal Crossing, Water Pumping Station Discharge Piping, Maple Street Canal Crossing, & Pearl Street WM Replacement, Upgrade Distribution System",2400,6444950,30,1097875074
19573,Sullivan,WURTSBORO (V),Wurtsboro (V),"Pennsylvania Ave and 1st St Well House Improvements, Upgrade Water Treatment Plant, Upgrade Ground Water Source",1265,1647200,30,1099522274
19160,Suffolk,SUFFOLK COUNTY WATER AUTHORITY,SCWA,"Replacement of Well No. 1A at the Adams Avenue Well Field., Upgrade Ground Water Source",1009264,1200000,25,1100722274
19765,Westchester,YONKERS (C),Yonkers (C),"Replacement of 750 LF of transmission main, Upgrade Distribution System",60070,1997720,25,1102719994
19551,Allegany,ALMOND (V),Almond (V),"Mill St. & Maple Ridge Water Main Improvements Project, Upgrade Distribution System",690,1025000,25,1103744994
19845,Dutchess,POUGHKEEPSIE WATER TREATMENT FACILITY,Poughkeepsie JWB,"Filter underdrain replacement, Upgrade Water Treatment Plant",74504,4415700,15,1108160694
19139,Suffolk,SUFFOLK COUNTY WATER AUTHORITY,SCWA,"Replacement of Well No. 2A at the Oval Drive Well Field., Upgrade Ground Water Source",3315,1200000,15,1109360694
19142,Suffolk,SUFFOLK COUNTY WATER AUTHORITY,SCWA,"Replacement of Well No. 3A at the Oval Drive Well Field., Upgrade Ground Water Source",3315,1200000,15,1110560694
19865,Nassau,WATER AUTH OF WESTERN NASSAU COUNTY,WAWNC,"Installation of additional AOP reactor at Station No. 57., Upgrade Water Treatment Plant",122276,1573000,10,1112133694
19148,Suffolk,SUFFOLK COUNTY WATER AUTHORITY,SCWA,"Replacement of 10,000 feet of water main., Upgrade Distribution System",34878,3427391,10,1115561085
