60,"SPRING GREEN, VILLAGE OF",5675-01,Construct Well #3,"$3,500,000.00",SC,Zettl,
60,"NEKOOSA, CITY OF",4858-13,Replace WM - Fairview Ln from S Section St to Point Basse Av,"$1,437,822.00",WC,Jaromin,
60,"ASHLAND, CITY OF",4759-32,"Replace WM on Prentice Ave, Phase 2","$705,000.00",NO,Andruczyk,
60,"RICHLAND CENTER, CITY OF",4893-03,Replace WMs; River & USH Crossings,"$1,500,000.00",SC,Zettl,
60,"WHITEHALL, CITY OF",4937-07,"Treat Wells #1, #2 and #3 for Fe","$3,000,000.00",WC,Jaromin,
60,"SURING, VILLAGE OF",5213-10,Upgrade Water Treatment Plant,"$437,187.00",NE,Hannes,
59,"BIRON, VILLAGE OF",5395-06,CTH U Loop Extension,"$1,205,115.00",WC,Jaromin,
58,"OREGON, VILLAGE OF",4873-06,Rehab Well #4,"$2,000,000.00",SC,Zettl,
58,"BLOOMINGTON, VILLAGE OF",5065-06,Rehabilitate Water Tank #2,"$440,000.00",SC,Zettl,
58,"COLEMAN, VILLAGE OF",4788-04,Replace WM on Main St.,"$2,024,895.00",NE,Hannes,
58,"THERESA, VILLAGE OF",5655-02,Replace WM on Milwaukee St,"$868,363.00",SC,Zettl,
57,"MAYVILLE, CITY OF",5443-11,Replace Watermains on Muzzy St and Allen St,"$576,942.00",SC,Zettl,
57,"WASHBURN, CITY OF",4947-07,Replace WM on Bayfield St (USH 13),"$2,608,650.00",NO,Andruczyk,
57,"CUMBERLAND, CITY OF",4791-12,Replace WM on Grove/Comstock/Babcock,"$2,782,000.00",NO,Andruczyk,
57,"EDGERTON, CITY OF",4800-13,Replace WM on Washington Street,"$800,000.00",SC,Zettl,
57,"RHINELANDER, CITY OF",5288-09,Replace WMs on Phillip St & Davenport St,"$2,706,250.00",NO,Andruczyk,
56,"FOUNTAIN CITY, CITY OF",5116-01,Construct Well #2,"$1,500,000.00",WC,Jaromin,
56,"VIOLA, VILLAGE OF",5316-08,Construct Well #5,"$1,725,301.00",SC,Zettl,
56,"OSCEOLA, VILLAGE OF",5203-05,"Construct WTP at Well #3 for Iron/Mang, Pump & Piping Mods","$3,450,000.00",NO,Andruczyk,
